;;Age-standardized suicide rates (per 100 000 population);Age-standardized suicide rates (per 100 000 population);Age-standardized suicide rates (per 100 000 population);Age-standardized suicide rates (per 100 000 population)
Malta;Both sexes;6.5;7;7;5.7
Mauritania;Both sexes;7.5;7.4;6.8;6.2
Mauritius;Both sexes;7.3;8.1;7.7;10.8
Mexico;Both sexes;5.2;5.6;4.8;4
Micronesia (Federated States of);Both sexes;11.3;11.6;11.6;12.6
Mongolia;Both sexes;13.3;13.4;16.1;19.7
Montenegro;Both sexes;7.9;7.7;8.3;9.4
Morocco;Both sexes;3.1;3.1;4.1;8.2
Mozambique;Both sexes;8.4;8.5;9.5;14.2
Myanmar;Both sexes;8.1;8;7.9;7.9
Namibia;Both sexes;11.5;11.8;13.5;14.5
Nepal;Both sexes;9.6;10.1;12.2;18
Netherlands;Both sexes;9.6;9.7;8.2;8.3
New Zealand;Both sexes;11.6;11.6;12.2;12.7
Nicaragua;Both sexes;11.9;11.9;12.4;18.3
Niger;Both sexes;9;9.1;9.4;8.8
Nigeria;Both sexes;17.3;17.5;18.2;18.5
Norway;Both sexes;10.1;10.2;10.6;12
Oman;Both sexes;3.5;3.6;3.5;4.8
Pakistan;Both sexes;3.1;3.1;3.3;4
Panama;Both sexes;4.4;4;5.3;6.6
Papua New Guinea;Both sexes;7;7;6.4;8.4
Paraguay;Both sexes;9.3;9.6;9.3;11
Peru;Both sexes;5.1;5.1;4.9;6
Philippines;Both sexes;3.7;3.8;4;3.1
Poland;Both sexes;13.4;13.1;15.5;15.2
Portugal;Both sexes;8.6;8.6;8.8;5.3
Qatar;Both sexes;5.8;5.7;5.1;3.8
Republic of Korea;Both sexes;20.2;21.4;28.1;14.2
Republic of Moldova;Both sexes;13.4;14;18;15.6
Romania;Both sexes;8;9.1;11.5;11.7
Russian Federation;Both sexes;26.5;27.5;34.5;47.5
Rwanda;Both sexes;11;11.2;12.5;24.6
Saint Lucia;Both sexes;7.3;7.3;6.1;7.4
Saint Vincent and the Grenadines;Both sexes;2.4;2.7;3.2;7.2
Samoa;Both sexes;5.4;5.5;6.4;10.7
Sao Tome and Principe;Both sexes;3.1;3.1;2.8;2.7
Saudi Arabia;Both sexes;3.4;3.4;3.8;3.4
Senegal;Both sexes;11.8;12.1;13.1;14
Serbia;Both sexes;10.9;10.6;11.3;16.8
Seychelles;Both sexes;8.3;8.5;9;9.4
Sierra Leone;Both sexes;16.1;15.7;16;19.2
Singapore;Both sexes;7.9;7.6;8.4;11.7
Slovakia;Both sexes;10.1;10.1;11.4;12.8
Slovenia;Both sexes;13.3;14.8;15.5;26
Solomon Islands;Both sexes;5.9;6.1;7.1;12.7
Somalia;Both sexes;8.3;8.3;7.6;8.2
South Africa;Both sexes;12.8;13.1;13.9;14.4
South Sudan;Both sexes;6.1;6;6.7;8
Spain;Both sexes;6.1;5.7;5.1;6.5
Sri Lanka;Both sexes;14.2;14.5;19.2;30.3
Sudan;Both sexes;9.5;9.5;9.5;9.5
Suriname;Both sexes;23.2;24.4;28.3;26.4
Sweden;Both sexes;11.7;12.3;12;12.2
Switzerland;Both sexes;11.3;11.4;11.3;16.8
Syrian Arab Republic;Both sexes;2.4;2.4;2.4;1.8
Tajikistan;Both sexes;3.3;3.4;3.4;4.2
Thailand;Both sexes;12.9;13.1;13;15.9
Republic of North Macedonia;Both sexes;6.2;6.2;4.9;7.1
Timor-Leste;Both sexes;6.4;6.4;7.6;13.6
Togo;Both sexes;16.6;16.3;16.9;17.2
Tonga;Both sexes;4;4;4.3;4.5
Trinidad and Tobago;Both sexes;12.9;12.8;13.5;15.2
Tunisia;Both sexes;3.2;3.3;3.6;3.8
Turkey;Both sexes;7.2;7.2;8.1;7.3
Turkmenistan;Both sexes;7.2;7.5;7.7;9.9
Uganda;Both sexes;20;20.2;21.8;22.8
Ukraine;Both sexes;18.5;19;22.6;32
United Arab Emirates;Both sexes;2.7;2.7;2.8;3.4
United Kingdom of Great Britain and Northern Ireland;Both sexes;7.6;7.6;6.9;8.1
United Republic of Tanzania;Both sexes;9.6;9.5;9.3;11.8
United States of America;Both sexes;13.7;13.3;11.8;10.1
Uruguay;Both sexes;16.5;17.4;14.9;15.9
Uzbekistan;Both sexes;7.4;7.4;6;9.1
Vanuatu;Both sexes;5.4;5.5;6.2;8.7
Venezuela (Bolivarian Republic of);Both sexes;3.8;3.9;4.5;9.1
Viet Nam;Both sexes;7;7;7.1;7.5
Yemen;Both sexes;9.8;9.9;10.6;9.1
Zambia;Both sexes;11.3;11.2;11.5;14.1
Zimbabwe;Both sexes;19.1;18.9;20.6;21.7
